,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
446,Pisco,PE,-13.7,-76.2167,60.85,82,100,8.05,mist
447,Kroya,ID,-7.6331,109.2461,74.95,90,69,7.27,broken clouds
448,Quang Ngai,VN,15.1167,108.8,75.52,90,0,4.81,clear sky
449,Camapua,BR,-19.5314,-54.0439,92.28,19,30,4.76,scattered clouds
450,Pangody,RU,65.85,74.4859,52.59,87,100,18.19,overcast clouds
451,Isangel,VU,-19.55,169.2667,75.83,90,98,7.96,overcast clouds
452,Coahuayana,MX,18.7333,-103.6833,87.58,64,100,3.47,overcast clouds
453,Vanimo,PG,-2.6741,141.3028,77.5,91,56,4.09,broken clouds
454,Balkhash,KZ,46.844,74.9804,78.98,32,69,13.02,broken clouds
455,Caarapo,BR,-22.6342,-54.8222,87.93,24,60,8.34,broken clouds
456,Aquiraz,BR,-3.9014,-38.3911,83.26,61,16,12.48,few clouds
457,Boguchany,RU,58.3814,97.4531,56.68,97,91,5.12,overcast clouds
458,Ust-Maya,RU,60.4167,134.5333,61.43,98,88,3.31,overcast clouds
459,Hutchinson,US,38.0608,-97.9298,98.69,28,0,21.03,clear sky
460,Skovorodino,RU,53.9833,123.9167,60.73,85,1,3.13,clear sky
461,Bay Roberts,CA,47.5999,-53.2648,80.35,84,95,1.99,overcast clouds
462,Kutum,SD,14.2,24.6667,88.3,29,85,4.32,overcast clouds
463,Huaihua,CN,27.5494,109.9592,78.15,82,96,3.58,overcast clouds
464,San Jeronimo,PE,-11.9472,-75.2829,63.25,30,30,2.06,scattered clouds
465,Raudeberg,NO,61.9875,5.1352,59.67,82,100,3.0,overcast clouds
466,Shache,CN,38.4167,77.2406,91.71,10,0,3.96,clear sky
467,Teseney,ER,15.11,36.6575,89.53,51,66,15.52,broken clouds
468,Fomento,CU,22.1039,-79.7217,87.22,61,100,10.83,overcast clouds
469,Bathsheba,BB,13.2167,-59.5167,86.05,79,1,14.25,clear sky
470,Tolmezzo,IT,46.4075,13.0175,85.42,56,30,0.74,moderate rain
471,Stettler,CA,52.3168,-112.7186,70.75,66,9,5.95,clear sky
472,Takoradi,GH,4.8845,-1.7554,77.13,73,92,10.11,overcast clouds
473,Dingle,PH,10.9995,122.6711,77.88,89,87,1.74,overcast clouds
474,Paita,PE,-5.0892,-81.1144,70.84,70,26,11.3,scattered clouds
475,Nampula,MZ,-15.1165,39.2666,67.93,69,92,6.24,overcast clouds
476,Dubbo,AU,-32.25,148.6167,42.93,93,32,10.36,scattered clouds
477,Upington,ZA,-28.4478,21.2561,57.6,44,2,16.84,clear sky
478,Clones,IE,54.1833,-7.2333,66.2,96,100,10.18,overcast clouds
479,Portel,BR,-1.9356,-50.8211,93.51,40,42,2.73,scattered clouds
480,Gorontalo,ID,0.5412,123.0595,74.57,93,42,4.63,scattered clouds
481,Jalu,LY,29.0331,21.5482,91.24,19,0,8.99,clear sky
482,Finschhafen,PG,-6.6024,147.8681,78.55,80,4,8.66,clear sky
483,Kovdor,RU,67.5662,30.4758,57.15,65,77,9.35,broken clouds
484,Ust-Nera,RU,64.5667,143.2,61.27,90,88,5.93,overcast clouds
485,Maturin,VE,9.75,-63.1767,87.64,54,29,7.9,scattered clouds
486,Siniscola,IT,40.5719,9.6922,92.75,51,1,3.56,clear sky
487,Sarangani,PH,5.4033,125.4636,82.49,76,81,11.43,broken clouds
488,Ngunguru,NZ,-35.6167,174.5,57.11,78,100,21.61,moderate rain
489,Kloulklubed,PW,7.0419,134.2556,77.5,77,100,12.17,overcast clouds
490,Cherskiy,RU,68.75,161.3,49.73,60,11,1.86,few clouds
491,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,83,75,12.66,broken clouds
492,Nouakchott,MR,18.0858,-15.9785,89.53,78,70,15.95,light rain
493,Igarka,RU,67.4667,86.5833,60.66,84,31,9.6,scattered clouds
494,Pinehurst,US,35.1954,-79.4695,95.9,53,20,5.75,few clouds
495,Zyryanka,RU,65.75,150.85,54.09,62,1,6.15,clear sky
496,Bairiki,KI,1.3292,172.9752,80.94,78,56,14.99,broken clouds
497,Sheregesh,RU,52.9209,87.9869,50.56,97,12,3.74,few clouds
498,Kindu,CD,-2.95,25.95,79.18,64,44,4.03,scattered clouds
499,Baleshwar,IN,21.4942,86.9317,81.37,83,94,5.48,light rain
500,Karratha,AU,-20.7377,116.8463,63.28,37,0,13.04,clear sky
501,Smidovich,RU,48.6,133.8167,58.12,92,38,6.8,scattered clouds
502,Chengde,CN,40.9725,117.9361,65.62,79,1,0.89,clear sky
503,Hokitika,NZ,-42.7167,170.9667,47.17,84,100,4.54,overcast clouds
504,Mareeba,AU,-17.0,145.4333,57.43,84,1,2.3,clear sky
505,Lagoa,PT,39.05,-27.9833,73.31,85,19,8.86,few clouds
506,Kholtoson,RU,50.2981,103.3097,48.7,95,73,1.5,broken clouds
507,Mzimba,MW,-11.9,33.6,60.69,61,71,9.37,broken clouds
508,Oranjemund,NA,-28.55,16.4333,55.26,80,0,23.02,clear sky
509,Nata,PA,8.3333,-80.5167,78.55,87,100,3.98,overcast clouds
510,Yumen,CN,40.2833,97.2,76.15,25,0,9.69,clear sky
511,Qabaqcol,AZ,41.72,46.2647,70.66,51,2,3.51,clear sky
512,Yudong,CN,29.385,106.5194,73.45,93,10,1.63,clear sky
513,Hunsur,IN,12.3075,76.2878,67.86,94,73,6.73,broken clouds
514,Ca Mau,VN,9.1769,105.15,77.58,89,100,1.36,overcast clouds
515,Ikalamavony,MG,-21.15,46.5833,62.96,73,89,5.32,overcast clouds
516,Chapais,CA,49.7834,-74.8492,65.35,80,100,11.34,overcast clouds
517,Maicao,CO,11.3832,-72.2432,89.96,47,27,16.58,scattered clouds
518,Port-Cartier,CA,50.0334,-66.8654,69.75,67,43,10.71,scattered clouds
519,Oussouye,SN,12.485,-16.5469,81.1,78,100,8.59,light rain
520,Shaoxing,CN,30.011,120.5715,80.1,88,7,2.64,clear sky
521,Chitipa,MW,-9.7024,33.2697,62.56,67,50,8.14,scattered clouds
522,Grand-Bourg,GP,15.8835,-61.3148,82.35,72,1,15.39,clear sky
523,Yarim,YE,14.298,44.3779,60.55,79,69,3.24,light rain
524,Longyearbyen,SJ,78.2186,15.6401,48.04,93,75,9.22,broken clouds
525,Homer,US,59.6425,-151.5483,55.78,75,65,4.0,broken clouds
526,Yerbogachen,RU,61.2767,108.0108,70.59,82,38,10.85,scattered clouds
527,Krasnyy Chikoy,RU,50.3643,108.7512,52.09,93,14,0.83,few clouds
528,Kaifeng,CN,34.7911,114.3483,72.48,79,0,6.98,clear sky
529,Bandikui,IN,27.05,76.5667,86.68,67,100,9.37,moderate rain
530,Khasan,RU,42.4308,130.6434,65.53,97,100,9.57,overcast clouds
531,Erzin,TR,36.9559,36.2,78.26,65,0,5.77,clear sky
532,Ust-Tsilma,RU,65.441,52.1498,55.99,66,3,3.53,clear sky
533,Ostrovnoy,RU,68.0531,39.5131,51.4,82,98,3.56,overcast clouds
534,Acarau,BR,-2.8856,-40.12,86.13,59,34,17.87,scattered clouds
535,Saint-Francois,FR,46.4154,3.9054,79.57,43,17,8.61,few clouds
536,Karwar,IN,14.8,74.1333,77.76,84,100,9.26,overcast clouds
537,Auki,SB,-8.7676,160.7034,76.55,89,20,3.78,few clouds
538,Saint Simons,US,31.1352,-81.3901,91.06,61,0,13.8,clear sky
539,Cascais,PT,38.6979,-9.4215,71.15,70,0,15.48,clear sky
540,Bozoum,CF,6.3193,16.3799,70.32,92,59,0.74,broken clouds
541,Stornoway,GB,58.2093,-6.3865,59.94,95,100,9.22,light rain
542,Batagay,RU,67.6333,134.6333,58.57,96,79,3.67,light rain
543,Honiara,SB,-9.4333,159.95,76.14,89,13,4.07,few clouds
544,Altus,US,34.6381,-99.334,99.99,27,32,16.87,scattered clouds
545,Pocao De Pedras,BR,-4.6667,-44.85,94.3,30,69,4.43,broken clouds
546,Ljungby,SE,56.8332,13.9408,64.81,87,100,6.55,overcast clouds
547,Flinders,AU,-34.5833,150.8552,52.74,90,9,4.63,clear sky
548,College,US,64.8569,-147.8028,57.47,87,84,2.64,broken clouds
549,Fougamou,GA,-1.2154,10.5838,81.95,55,96,4.92,overcast clouds
550,Vila,PT,42.0304,-8.1588,83.7,41,0,5.37,clear sky
551,Nago,JP,26.5881,127.9761,84.45,88,82,3.83,broken clouds
552,Zilupe,LV,56.3862,28.1217,67.48,89,47,5.61,scattered clouds
553,Crisan,RO,44.9667,29.4667,70.74,73,0,7.36,clear sky
554,Antalaha,MG,-14.9003,50.2788,67.23,83,36,7.81,scattered clouds
555,Banikoara,BJ,11.2985,2.4386,77.77,85,100,3.2,light rain
556,Alekseyevsk,RU,57.8406,108.3492,61.27,98,93,3.91,light rain
557,Cuamba,MZ,-14.8031,36.5372,70.9,48,96,3.62,overcast clouds
558,Porto Novo,BJ,6.4965,2.6036,77.58,76,88,9.01,overcast clouds
559,Katsuura,JP,35.1333,140.3,77.86,86,100,15.19,overcast clouds
560,Nemuro,JP,43.3236,145.575,59.49,99,100,12.77,overcast clouds
561,Owensboro,US,37.7742,-87.1133,97.02,35,18,10.4,few clouds
562,Predejane,RS,42.8294,22.1311,81.23,31,1,4.74,clear sky
563,Tanda,IN,26.55,82.65,87.75,63,91,12.77,overcast clouds
564,Pangkalanbuun,ID,-2.6833,111.6167,73.33,99,39,1.92,scattered clouds
565,Dukhovshchina,RU,55.1919,32.4111,65.5,84,2,5.03,clear sky
566,Zonguldak,TR,41.25,31.8333,60.44,84,0,3.18,clear sky
567,Zhob,PK,31.3411,69.4481,73.2,82,80,4.25,broken clouds
568,Nokaneng,BW,-19.6667,22.2667,67.15,33,35,4.16,scattered clouds
569,Tura,IN,25.5198,90.2201,75.04,97,100,7.27,light rain
570,Sattahip,TH,12.6664,100.9007,82.98,89,20,3.44,few clouds
571,Bubaque,GW,11.2833,-15.8333,80.08,80,97,14.76,overcast clouds
572,Oskaloosa,US,41.2964,-92.6444,98.58,47,0,14.97,clear sky
573,Caravelas,BR,-17.7125,-39.2481,76.84,60,0,6.96,clear sky
574,Fukue,JP,32.6881,128.8419,78.71,84,90,12.17,overcast clouds
575,Labytnangi,RU,66.6572,66.4183,51.66,68,28,6.2,scattered clouds
576,Bokaa,BW,-24.45,26.0167,63.39,45,61,5.73,broken clouds
577,Lyuban,BY,52.7985,28.0048,72.41,67,40,5.93,scattered clouds
578,Puerto Madryn,AR,-42.7692,-65.0385,43.48,98,100,14.45,overcast clouds
579,Aste,IT,45.7906,11.0961,88.18,61,56,1.19,broken clouds
580,Cap Malheureux,MU,-19.9842,57.6142,68.47,77,19,5.99,few clouds
581,Jining,CN,35.405,116.5814,71.46,90,0,4.47,clear sky
582,Rumoi,JP,43.9344,141.6428,63.72,91,90,1.77,overcast clouds
583,Constantine,DZ,36.365,6.6147,92.61,29,20,14.97,few clouds
584,Bukachacha,RU,52.9833,116.9167,60.19,95,87,3.74,overcast clouds
585,Nueva Loja,EC,0.0847,-76.8828,73.83,83,99,1.16,overcast clouds
586,Honningsvag,NO,70.9821,25.9704,51.55,87,75,16.11,light intensity drizzle
587,Goshen,US,41.5823,-85.8344,81.55,66,84,14.03,broken clouds
588,Do Gonbadan,IR,30.3586,50.7981,90.63,18,3,2.98,clear sky
589,Harper,LR,4.375,-7.7169,77.13,71,72,8.55,broken clouds
590,Kieta,PG,-6.2167,155.6333,78.03,85,61,5.66,broken clouds
591,Chabahar,IR,25.2919,60.643,83.19,83,99,14.61,overcast clouds
592,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,94.5,18,0,5.95,clear sky
593,Tucurui,BR,-3.7661,-49.6725,91.62,36,61,5.03,broken clouds
594,Alyangula,AU,-13.8483,136.4192,65.68,82,56,3.94,broken clouds
595,Campbell River,CA,50.0163,-125.2446,69.51,51,8,4.47,clear sky
596,Grand-Lahou,CI,5.1367,-5.0242,77.14,73,88,9.17,overcast clouds
597,Douglas,US,41.3,-96.167,103.37,22,2,23.4,clear sky
598,Berzence,HU,46.2091,17.1481,76.14,64,79,8.21,light rain
599,La Ermita,MX,20.4139,-101.9936,78.21,42,22,3.78,few clouds
600,Sobolevo,RU,54.4299,31.8996,65.97,83,0,4.59,clear sky
601,Praxedis Guerrero,MX,31.3667,-106.0167,92.66,28,42,5.21,scattered clouds
602,Viedma,AR,-40.8135,-62.9967,56.21,48,100,5.75,overcast clouds
603,Shiyan,CN,32.6475,110.7781,71.46,66,0,1.77,clear sky
604,Noumea,NC,-22.2763,166.4572,73.17,90,49,5.55,scattered clouds
605,Thai Binh,VN,20.45,106.3333,81.41,82,1,6.26,clear sky
606,Whitehorse,CA,60.7161,-135.0538,55.09,54,81,4.59,broken clouds
607,Djambala,CG,-2.5447,14.7533,72.9,70,78,2.89,light rain
608,Kudahuvadhoo,MV,2.6708,72.8944,83.12,73,90,12.37,overcast clouds
609,Yaguachi,EC,-2.1167,-79.6833,80.58,63,99,3.71,overcast clouds
610,Louny,CZ,50.357,13.7967,73.89,59,65,6.31,broken clouds
611,Cristalina,BR,-16.7686,-47.6136,77.43,27,0,6.64,clear sky
612,Saurimo,AO,-9.6608,20.3916,74.28,26,85,3.83,overcast clouds
613,Lunino,RU,53.5918,45.2271,63.64,88,47,3.65,scattered clouds
614,Hobyo,SO,5.3505,48.5268,76.78,82,48,28.77,scattered clouds
615,Santa Cruz,BO,-17.8,-63.1667,87.28,36,18,15.88,few clouds
616,Mabaruma,GY,8.2,-59.7833,84.25,68,22,6.49,few clouds
617,Shubarshi,KZ,48.5872,57.1869,78.57,39,70,11.36,broken clouds
618,Pascagoula,US,30.3658,-88.5561,94.41,55,0,4.61,clear sky
619,Anderson,US,34.5334,-82.6499,97.09,53,0,5.75,clear sky
620,Denpasar,ID,-8.65,115.2167,74.37,75,67,8.59,broken clouds
621,Broadstairs,GB,51.3591,1.4394,70.11,64,90,16.58,overcast clouds
622,Imeni Poliny Osipenko,RU,52.4201,136.4853,56.8,90,66,1.21,broken clouds
623,Tashtagol,RU,52.7657,87.8894,51.84,97,12,3.18,few clouds
624,Lavrentiya,RU,65.5833,-171.0,44.87,80,95,14.23,overcast clouds
625,Sungaipenuh,ID,-2.0833,101.3833,64.09,97,86,3.65,overcast clouds
626,Vihari,PK,30.0333,72.35,89.13,65,100,7.54,overcast clouds
627,Atar,MR,20.5169,-13.0499,92.21,43,85,5.35,light rain
628,Agadez,NE,19.75,10.25,99.25,16,50,8.79,scattered clouds
629,Henties Bay,NA,-22.116,14.2845,56.64,84,1,6.53,clear sky
630,Bangassou,CF,4.7413,22.8184,69.78,92,30,2.84,scattered clouds
631,Vostok,RU,46.4856,135.8833,58.71,95,83,1.61,broken clouds
632,Zhigansk,RU,66.7697,123.3711,49.75,94,15,6.04,few clouds
633,North Battleford,CA,52.7834,-108.2847,62.4,56,88,9.84,overcast clouds
634,Mantua,IT,45.1667,10.7833,94.08,53,61,1.99,broken clouds
635,Toamasina,MG,-18.1667,49.3833,69.24,85,80,4.83,light rain
636,Losal,IN,27.4,74.9167,83.48,74,100,7.05,overcast clouds
637,Sorong,ID,-0.8833,131.25,76.91,92,100,14.2,overcast clouds
638,Talalayivka,UA,50.9578,31.9209,69.39,66,14,4.41,few clouds
639,Soyo,AO,-6.1349,12.3689,70.61,86,37,7.31,scattered clouds
640,Grieskirchen,AT,48.2333,13.8333,76.46,71,91,5.93,overcast clouds
641,Gikongoro,RW,-2.464,29.5739,65.8,54,92,4.14,overcast clouds
642,Meadow Lake,US,34.8014,-106.5436,92.61,31,23,6.96,few clouds
643,Manokwari,ID,-0.8667,134.0833,77.72,79,82,3.89,broken clouds
644,Pokosnoye,RU,55.5258,101.0536,58.71,86,88,8.41,overcast clouds
645,Sotouboua,TG,8.5667,0.9833,69.91,97,100,3.13,overcast clouds
646,Camargo,MX,27.6667,-105.1667,89.74,28,28,3.83,scattered clouds
647,Moron,AR,-34.6534,-58.6198,62.02,99,83,1.48,broken clouds
648,San Pedro,PH,14.35,121.0167,81.63,88,20,4.61,few clouds
649,Hun,LY,29.1268,15.9477,88.52,21,0,8.03,clear sky
650,Broken Hill,AU,-31.95,141.4333,52.41,76,0,6.58,clear sky
651,Ust-Kulom,RU,61.6864,53.6902,61.54,94,33,0.51,scattered clouds
652,Margate,GB,51.3813,1.3862,75.87,49,89,4.0,overcast clouds
653,Teknaf,BD,20.8624,92.3058,78.3,90,96,8.48,overcast clouds
654,Ankang,CN,32.68,109.0172,71.31,79,0,0.58,clear sky
655,Lazarev,RU,52.225,141.5131,55.85,84,7,1.72,clear sky
656,Tabory,RU,58.5198,64.5495,59.9,62,57,3.53,broken clouds
657,Praia,CV,14.9215,-23.5087,79.81,80,66,9.44,light rain
658,Wharton,US,29.3116,-96.1027,97.09,51,0,10.36,clear sky
659,Lafiagi,NG,8.8667,5.4167,74.8,92,100,4.88,light rain
660,Tefe,BR,-3.3542,-64.7114,87.91,70,75,4.61,broken clouds
661,Jipijapa,EC,-1.3333,-80.5833,72.9,73,99,3.33,overcast clouds
662,Manado,ID,1.487,124.8455,75.97,94,20,1.14,few clouds
663,Nara,JP,34.6851,135.8049,74.5,61,100,1.77,overcast clouds
664,Kulhudhuffushi,MV,6.6221,73.07,81.57,79,42,15.23,scattered clouds
665,Santa Clara,CU,22.4,-79.9667,87.46,62,40,18.41,scattered clouds
666,Dukat,RU,62.55,155.55,44.73,69,61,5.37,broken clouds
667,Alamos,MX,27.0167,-108.9333,88.29,49,99,4.0,overcast clouds
668,Santa Rosa,PH,14.3122,121.1114,78.67,88,96,3.29,overcast clouds
669,Vieira De Leiria,PT,39.8695,-8.9324,80.85,65,29,8.99,scattered clouds
670,Stelle,DE,53.3842,10.1114,66.42,61,46,7.9,scattered clouds
671,Inhambane,MZ,-23.865,35.3833,67.98,77,20,4.61,few clouds
